name,eng_position,DIVISION,attack_percentage,block_total,serve_percentage,receive_percentage,dig_percentage,set_percentage,total_point_score,national_team
賴湘程,Libero,Womens Division,1.0,0.0,0.0,0.3981,0.2927,0.2102,1.0,1
邱雅慧,Middle Blocker,Womens Division,0.33,131.0,0.0448,0.3671,0.1826,0.0938,534.0,1
林雍順,Libero,Mens Division,,0.0,,0.3896,0.2173,0.1746,0.0,1
柯宗甫,Middle Blocker,Mens Division,0.5306,203.0,0.0189,0.225,0.0997,0.0857,818.0,1
張昀亮,Libero,Mens Division,,0.0,0.0,0.501,0.2561,0.1144,1.0,1
宋柏霆,Outside Hitter,Mens Division,0.4421,89.0,0.0539,0.3504,0.1482,0.0563,1065.0,1
張育陞,Opposite Hitter,Mens Division,0.5354,21.0,0.1304,0.6,0.0971,0.1333,201.0,1
柯凱傑,Setter,Mens Division,0.3186,54.0,0.0357,0.0833,0.069,0.2771,119.0,1
吳芳妤,Outside Hitter,Womens Division,0.3237,63.0,0.0447,0.3429,0.2213,0.082,1285.0,1
許菀芸,Outside Hitter,Womens Division,0.3285,33.0,0.0621,0.4095,0.3323,0.0732,1083.0,1
蔡沛彰,Middle Blocker,Mens Division,0.5835,201.0,0.0552,0.2174,0.0772,0.0526,757.0,1
甘可慧,Middle Blocker,Womens Division,0.3903,197.0,0.0384,0.2794,0.1672,0.0323,1321.0,1
陳潔,Opposite Hitter,Womens Division,0.3225,24.0,0.0403,0.3624,0.2825,0.1622,490.0,1
林其蓉,Libero,Womens Division,0.0,0.0,0.0,0.4491,0.3376,0.1781,0.0,1
林謙,Setter,Mens Division,0.418,104.0,0.038,0.1034,0.1103,0.3593,263.0,1
李尼希米,Outside Hitter,Mens Division,0.4721,50.0,0.0395,0.4078,0.1954,0.16,1175.0,1
洪榮發,Opposite Hitter,Mens Division,0.4587,137.0,0.0442,0.0,0.1802,1.0,1512.0,1
曾祥銘,Outside Hitter,Mens Division,0.5011,143.0,0.0271,0.4384,0.1799,0.2759,1058.0,1
蔡幼群,Outside Hitter,Womens Division,0.3483,60.0,0.0527,0.4318,0.2551,0.0,1107.0,1
胡曉佩,Middle Blocker,Womens Division,0.3741,141.0,0.0646,0.3168,0.204,0.0323,641.0,1
林靖儀,Setter,Womens Division,,0.0,,,,0.0,0.0,1
蘇逢澤,Libero,Mens Division,1.0,0.0,,0.5913,0.3443,0.0,1.0,1
林錦龍,Opposite Hitter,Mens Division,0.4576,108.0,0.0552,0.2273,0.1302,,785.0,1
簡偉倫,Libero,Mens Division,,0.0,,0.439,0.2495,0.0,0.0,1
雷諾,Outside Hitter,Mens Division,0.4332,91.0,0.0306,0.3573,0.1245,0.0,951.0,1
洪家瑤,Setter,Womens Division,0.375,54.0,0.0463,0.0,0.1341,0.2487,119.0,1
洪詩涵,Opposite Hitter,Womens Division,0.3361,29.0,0.0541,0.3509,0.1496,0.0,415.0,1
廖嘉安,Middle Blocker,Womens Division,0.3189,28.0,0.0342,0.1667,0.0922,0.0,183.0,1
陳莉鈞,Outside Hitter,Womens Division,0.3225,3.0,0.0191,0.3521,0.3314,0.0,115.0,1
邱詩晴,Libero,Womens Division,,0.0,0.0,0.4735,0.471,,0.0,1
