name,eng_position,DIVISION,attack_percentage,block_total,serve_percentage,receive_percentage,dig_percentage,set_percentage,total_point_score,national_team
吳國強,Outside Hitter,Mens Division,0.404,13.0,0.0604,0.4608,0.2424,,318.0,0
鍾秉樺,Outside Hitter,Mens Division,0.3182,1.0,0.0222,0.4737,0.1379,,10.0,0
吳承翰,Opposite Hitter,Mens Division,0.3793,2.0,0.0,,0.0,,13.0,0
李赫軒,Libero,Mens Division,,0.0,0.0,0.6667,0.2793,,0.0,0
莊皓崴,Setter,Mens Division,0.3846,2.0,0.0,0.0,0.0933,0.3212,7.0,0
何京威,Outside Hitter,Mens Division,0.4649,6.0,0.0303,0.4969,0.2329,,95.0,0
李俊佑,Middle Blocker,Mens Division,0.4714,75.0,0.0244,0.3333,0.2473,,192.0,0
陳昱碩,Outside Hitter,Mens Division,,0.0,0.0,,0.0,,0.0,0
風祐帆,Libero,Mens Division,,0.0,,0.4711,0.4118,,0.0,0
莊毅君,Middle Blocker,Mens Division,0.4167,6.0,0.0,1.0,0.0,,16.0,0
林良黛,Outside Hitter,Womens Division,0.2994,14.0,0.0518,0.4502,0.3253,0.0,271.0,0
翁梓勻,Middle Blocker,Womens Division,0.3673,26.0,0.05,0.375,0.2966,,190.0,0
丁佩瑩,Libero,Womens Division,,0.0,,0.3261,0.3712,,0.0,0
陳菀婷,Outside Hitter,Womens Division,0.3767,19.0,0.0487,0.2857,0.3203,0.5,224.0,0
葉亮言,Middle Blocker,Womens Division,0.3297,14.0,0.0395,0.3333,0.3729,,47.0,0
張穎禾,Middle Blocker,Womens Division,0.3333,0.0,0.0,1.0,0.0,,2.0,0
李貝兒,Outside Hitter,Womens Division,0.3183,13.0,0.0676,0.3594,0.3066,,252.0,0
MIRA,Outside Hitter,Womens Division,0.2025,7.0,0.0294,0.2208,0.1563,,24.0,0
YULIA,Middle Blocker,Womens Division,0.4338,55.0,0.0278,0.1739,0.1739,0.0,155.0,0
BREE,Outside Hitter,Womens Division,0.3443,7.0,0.0649,0.2647,0.2206,,75.0,0
陳彥臻,Libero,Womens Division,,0.0,0.0,0.5198,0.4646,,0.0,0
許芳閩,Opposite Hitter,Womens Division,0.3263,5.0,0.0516,0.4253,0.407,1.0,228.0,0
簡翊雯,Opposite Hitter,Womens Division,0.3174,31.0,0.0524,0.3566,0.252,,323.0,0
李思依,Outside Hitter,Womens Division,0.269,1.0,0.0612,0.5505,0.4059,,50.0,0
潘慧勳,Outside Hitter,Womens Division,0.296,2.0,0.0303,0.3664,0.2708,,100.0,0
陳思妤,Outside Hitter,Womens Division,0.2927,7.0,0.0377,0.3526,0.2829,0.0,181.0,0
吳文亘,Middle Blocker,Womens Division,0.2918,13.0,0.0321,0.1579,0.2514,,98.0,0
吳苡綾,Middle Blocker,Womens Division,0.2527,15.0,0.0625,0.1429,0.1905,,43.0,0
戴君芳,Setter,Womens Division,0.2857,2.0,0.0597,0.0,0.25,0.167,10.0,0
張芸甄,Setter,Womens Division,0.25,3.0,0.0424,0.3333,0.1745,0.1491,17.0,0
林采臻,Middle Blocker,Womens Division,0.2968,16.0,0.0635,0.2941,0.2708,0.0,70.0,0
張家綺,Middle Blocker,Womens Division,,0.0,,,,,0.0,0
POLINA,Outside Hitter,Womens Division,0.3419,4.0,0.0333,0.0,0.2222,,59.0,0
包茵綺,Middle Blocker,Womens Division,0.3431,37.0,0.036,0.3448,0.2206,1.0,163.0,0
許恆芸,Opposite Hitter,Womens Division,0.2793,10.0,0.0733,0.3333,0.2688,,114.0,0
池長璇,Outside Hitter,Womens Division,0.3258,5.0,0.0385,0.1923,0.275,0.0,50.0,0
鍾虹薰,Libero,Womens Division,0.0,0.0,,0.5833,0.4467,,0.0,0
李冠緯,Setter,Mens Division,0.2857,10.0,0.0159,0.25,0.1594,0.3273,21.0,0
林威宏,Middle Blocker,Mens Division,0.5217,1.0,0.0,0.25,0.0,,13.0,0
張家瑋,Setter,Mens Division,1.0,0.0,0.0204,,0.125,0.4468,2.0,0
伍奧斯定,Opposite Hitter,Mens Division,0.4225,2.0,0.0,0.6667,0.3478,,32.0,0
蘇彥辰,Outside Hitter,Mens Division,0.4286,1.0,0.0,0.5,0.375,,10.0,0
張祐陞,Setter,Mens Division,1.0,4.0,0.0,0.0,0.1053,0.2929,5.0,0
畢宗元,Middle Blocker,Mens Division,0.5789,16.0,0.0111,0.7778,0.0833,,50.0,0
邱凡綺,Outside Hitter,Womens Division,0.2881,5.0,0.046,0.4368,0.3333,,77.0,0
曾予柔,Opposite Hitter,Womens Division,0.2477,0.0,0.0678,1.0,0.4151,,31.0,0
陳薏,Outside Hitter,Womens Division,0.3328,11.0,0.0691,0.4822,0.3246,,234.0,0
陳品宇,Outside Hitter,Womens Division,0.3223,13.0,0.0795,0.5873,0.3522,,278.0,0
吳紫華,Middle Blocker,Womens Division,0.3273,8.0,0.05,0.25,0.2195,,67.0,0
張庭瑋,Setter,Womens Division,0.375,2.0,0.0422,0.0,0.2143,0.3233,21.0,0
林璽,Libero,Womens Division,0.2333,1.0,0.0,0.5931,0.4392,1.0,8.0,0
盧佳玟,Middle Blocker,Womens Division,0.3796,20.0,0.0432,0.25,0.2556,,119.0,0
馬德蓉,Middle Blocker,Womens Division,0.2658,22.0,0.038,0.1429,0.25,,46.0,0
李莙妮,Libero,Womens Division,0.0,0.0,,0.5417,0.3789,,0.0,0
蔡逸婕,Outside Hitter,Womens Division,0.3103,2.0,0.0377,0.4312,0.3438,,40.0,0
陽孟娟,Outside Hitter,Womens Division,0.2029,2.0,0.0,0.3111,0.3333,,16.0,0
張筱玉,Middle Blocker,Womens Division,0.0,0.0,,,0.0,,0.0,0
陳妘臻,Setter,Womens Division,0.0,1.0,0.0408,,0.1273,0.1749,3.0,0
張稦豈,Outside Hitter,Womens Division,0.3672,27.0,0.0523,0.3079,0.256,0.0,350.0,0
Darin,Outside Hitter,Womens Division,0.2693,11.0,0.0283,0.3509,0.29,,169.0,0
張萱,Outside Hitter,Womens Division,0.0,0.0,0.0,0.6,0.3404,0.0,0.0,0
Jarasporn,Middle Blocker,Womens Division,0.4437,48.0,0.044,0.3462,0.192,,194.0,0
楊翊平,Outside Hitter,Mens Division,,1.0,0.0,,0.5,,1.0,0
林庭偉,Opposite Hitter,Mens Division,0.5057,10.0,0.0625,,0.2045,,151.0,0
錢毓承,Libero,Mens Division,1.0,0.0,,0.5422,0.3621,,1.0,0
愛妳,Middle Blocker,Mens Division,0.5476,39.0,0.0163,0.0833,0.0606,,110.0,0
林禹逸,Opposite Hitter,Mens Division,,0.0,0.0,1.0,0.0,,0.0,0
陳玠廷,Setter,Mens Division,0.4118,16.0,0.0399,0.1667,0.2128,0.4546,41.0,0
陳奕安,Outside Hitter,Mens Division,,0.0,0.0,,0.1667,,0.0,0
張廷翰,Outside Hitter,Mens Division,0.4349,16.0,0.0302,0.4855,0.2429,0.8182,169.0,0
邱義翔,Libero,Mens Division,,0.0,0.0,1.0,0.293,,0.0,0
韓晟曦,Middle Blocker,Mens Division,0.3333,1.0,0.0,0.5,,,5.0,0
許甄軒,Opposite Hitter,Womens Division,0.3333,2.0,0.0213,0.5,0.1636,,47.0,0
潘毅融,Outside Hitter,Mens Division,0.4321,1.0,0.0,0.6324,0.2581,,36.0,0
林立森,Outside Hitter,Mens Division,0.5,0.0,0.0,0.6,0.0,,2.0,0
藤川佳大,Outside Hitter,Mens Division,0.4186,1.0,0.0,0.5714,0.1111,,19.0,0
陳喬恩,Outside Hitter,Womens Division,0.3256,2.0,0.0,0.0,0.1429,,16.0,0
林志釧,Middle Blocker,Mens Division,0.48,4.0,0.0,0.0,0.0,,16.0,0
