name,birthday,height,weight,position,ENG_POSITION,captain,national_team
林謙,4/4/2002,190,73,舉球,Setter,0,1
林義祥,11/17/2003,182,79,舉球,Setter,0,0
甘茂宏,5/29/2003,191,79,攔中,Middle Blocker,0,0
林錦龍,1/19/2001,194,86,對角,Opposite Hitter,0,1
劉昱麟,12/3/2003,193,73,長攻,Outside Hitter,0,0
張安成,7/7/2005,192,75,攔中,Middle Blocker,0,0
高宇浩,8/26/2005,183,70,長攻,Outside Hitter,0,0
陳冠中,10/16/2000,188,78,攔中,Middle Blocker,0,0
陳柏勳,9/22/2003,171,72,自由,Libero,0,0
劉少宇,5/26/2003,187,75,舉球,Setter,0,0
黃意凱,9/10/2001,173,65,自由,Libero,0,0
郭其昌,9/30/2003,183,83,長攻,Outside Hitter,0,0
李權紘,11/10/2001,190,83,對角,Opposite Hitter,0,0
李尼希米 ,3/30/2002,180,70,長攻,Outside Hitter,1,1
胡曉佩,11/30/2001,176,66,攔中,Middle Blocker,0,1
劉玉淳,5/10/2000,173,70,舉球,Setter,0,0
曾琬羚,5/13/1996,171,64,攔中,Middle Blocker,1,1
陳思妤,2/3/2005,174,75,長攻,Outside Hitter,0,0
吳閩育,12/9/2003,155,55,自由,Libero,0,0
洪詩涵,9/23/2004,181,74,對角,Opposite Hitter,0,1
許菀芸,5/10/2003,164,57,長攻,Outside Hitter,0,1
彭𦀡媃,3/20/2003,175,74,長攻,Outside Hitter,0,0
包茵綺,7/16/2006,178,72,攔中,Middle Blocker,0,0
許惠瑩,6/10/2002,177,66,長攻,Outside Hitter,0,0
鍾虹薰,1/19/2003,160,48,自由,Libero,0,0
黃瀞萱,11/16/1998,181,71,對角,Opposite Hitter,0,1
葉軒岑,2/19/2002,173,68,攔中,Middle Blocker,0,0
欒妤雯,7/23/2002,172,58,舉球,Setter,0,0
丁柔安,1/31/1997,160,50,自由,Libero,0,0
陳怡如,12/21/1989,175,67,攔中,Middle Blocker,0,0
高歆媛,9/28/2002,172,67,長攻,Outside Hitter,0,0
江思萳,9/1/1998,168,66,攔中,Middle Blocker,0,0
蔡幼群,7/20/2001,174,58,長攻,Outside Hitter,0,1
吳詠涵,5/5/2004,166,66,長攻,Outside Hitter,0,0
陳菀婷,11/25/1990,180,70,對角,Opposite Hitter,1,0
Carla Santos,1/17/1992,173,75,長攻,Outside Hitter,0,0
黃素琴,9/1/2000,167,62,自由,Libero,0,0
Aleoscar Blanco,7/18/1987,189,89,攔中,Middle Blocker,0,0
詹佳茵,2/14/2003,165,52,長攻,Outside Hitter,0,0
吳沛緹,12/19/2004,167,61,長攻,Outside Hitter,0,0
鄭伊伶,11/18/2003,173,60,長攻,Outside Hitter,0,0
黃珮甄,3/2/2004,176,69,對角,Opposite Hitter,0,0
洪家瑤,1/7/2004,177,77,舉球,Setter,0,1
謝靖瑩,9/2/2003,172,73,舉球,Setter,0,0
江昀庭,5/8/2005,160,53,自由,Libero,0,0
廖嘉安,4/15/2004,177,75,攔中,Middle Blocker,0,1
張稦豈,7/19/2005,180,65,對角,Opposite Hitter,0,0
張洵瑞,10/12/2004,170,61,舉球,Setter,0,0
胡宸穎,7/3/2004,173,64,攔中,Middle Blocker,1,0
李思依,2/15/2006,168,55,自由,Libero,0,0
李子嫣,7/2/2004,174,66,攔中,Middle Blocker,0,0
吳佩茹,6/22/2004,171,69,長攻,Outside Hitter,0,0
潘宣蓉,9/18/2003,182,69,攔中,Middle Blocker,0,0
POLINA KOCHETKOVA,3/16/2000,188,70,對角,Opposite Hitter,0,0
Beatriz De Carvalho,12/18/1998,175,78,對角,Opposite Hitter,0,0
廖苡任 ,6/8/1997,166,51,舉球,Setter,1,1
吳芳妤,1/9/2000,170,57,長攻,Outside Hitter,0,1
丁佩瑩,7/13/2003,168,70,自由,Libero,0,0
林良黛,1/9/2005,170,63,長攻,Outside Hitter,0,0
王育文,1/24/2004,176,65,攔中,Middle Blocker,0,0
陳莉鎔,2/23/2001,167,58,舉球,Setter,0,0
翁梓勻,6/8/2005,176,62,攔中,Middle Blocker,0,0
林書荷,2/6/1999,171,62,長攻,Outside Hitter,0,1
陳佳蔓 ,7/27/1999,172,62,舉球,Setter,1,1
甘可慧,9/3/2002,188,86,攔中,Middle Blocker,0,1
陳潔,12/1/2001,165,63,對角,Opposite Hitter,0,1
陳莉鈞,3/7/2003,170,61,長攻,Outside Hitter,0,1
許恆芸,11/29/2005,175,63,對角,Opposite Hitter,0,0
劉雙菱,4/4/2000,177,66,長攻,Outside Hitter,0,1
邱詩晴,1/25/2004,155,50,自由,Libero,0,1
劉美菁,1/17/1996,186,72,攔中,Middle Blocker,0,0
池長璇,6/21/2004,178,60,長攻,Outside Hitter,0,0
李怡萱,8/2/1992,166,57,自由,Libero,0,0
蔡沛彰,1/2/2001,198,90,攔中,Middle Blocker,0,1
陳政錡,1/29/1999,192,85,攔中,Middle Blocker,0,1
戴儒謙,11/14/1988,182,77,舉球,Setter,1,1
柯凱傑,10/15/1998,190,72,舉球,Setter,0,1
吳宗軒,7/9/1994,187,75,對角,Opposite Hitter,0,1
宋柏霆,9/2/1998,186,78,長攻,Outside Hitter,0,1
吳政陽,6/3/1992,188,72,攔中,Middle Blocker,0,1
陳建禎,11/20/1989,187,87,長攻,Outside Hitter,1,1
張育陞,3/30/2000,188,84,對角,Opposite Hitter,0,1
張昀亮,8/28/1998,167,70,自由,Libero,0,1
劉鴻杰,11/10/1993,189,80,攔中,Middle Blocker,0,1
劉鴻敏,11/10/1993,191,85,長攻,Outside Hitter,0,1
林國鈞,4/11/1993,189,72,舉球,Setter,0,1
李興國,9/20/1995,191,75,對角,Opposite Hitter,0,1
董力億,10/10/1994,165,62,自由,Libero,0,1
張良皓,7/7/1994,196,86,攔中,Middle Blocker,0,1
江天祐,2/7/1988,196,95,攔中,Middle Blocker,0,1
黃建逢,12/31/1990,195,82,長攻,Outside Hitter,0,1
黃鈞璟,3/22/1993,196,88,攔中,Middle Blocker,0,1
王明浚,7/30/1988,188,85,對角,Opposite Hitter,0,1
林雍順,10/13/1991,172,68,自由,Libero,0,1
黃培閎,9/17/1990,188,74,舉球,Setter,0,1
石修智,7/24/1995,184,77,舉球,Setter,0,1
曾弘仁,12/23/1996,190,94,長攻,Outside Hitter,0,1
陳姿雅,8/26/1997,177,62,長攻,Outside Hitter,1,1
林靖儀,12/10/2001,166,67,舉球,Setter,0,1
許晏寧,1/1/2004,,,攔中,Middle Blocker,0,1
林其蓉,10/5/2000,158,59,自由,Libero,0,1
黃蔓亞,10/10/1999,179,61,對角,Opposite Hitter,0,1
邱雅慧,4/4/1998,180,67,攔中,Middle Blocker,0,1
賴湘程,3/19/1995,153,52,自由,Libero,0,1
張瓈文,2/7/1995,176,64,對角,Opposite Hitter,0,1
羅儀璟,9/16/1997,160,55,自由,Libero,0,1
陳昱潔,11/12/2000,176,58,長攻,Outside Hitter,0,1
謝苡縥,9/25/1990,165,64,舉球,Setter,0,1
黃芯瑜,2/25/1998,180,60,攔中,Middle Blocker,0,1
張秝芸,3/28/1991,180,66,長攻,Outside Hitter,0,1
劉煜淳,5/10/2000,173,66,舉球,Setter,0,1
溫以勤,1/21/2001,176,70,攔中,Middle Blocker,0,1
